country_name,country_code,year,stunting_pct,gdp_per_capita,undernourishment_pct,water_access_pct,female_edu_pct,political_stability
Belize,BLZ,2000,23.8,5663.64632374973,,,69.6441192626953,0.0971477999999999
Bermuda,BMU,2000,,109502.763102809,,,,0.7054045
Bolivia,BOL,2000,33.0,2014.19024658446,,,70.1280364990234,-0.3559096
Brazil,BRA,2000,9.9,6817.78345634413,,75.7844900976305,,0.3964531
Barbados,BRB,2000,8.1,21523.3992235883,,,108.796867370605,0.8841689
Brunei Darussalam,BRN,2000,21.1,37509.5983847742,,,87.9611587524414,1.352238
Bhutan,BTN,2000,44.8,1259.6237645235,,28.4402757427527,27.6800708770752,0.4028657
Botswana,BWA,2000,30.3,5062.64289173588,,59.1969933282748,77.4799728393555,1.1550115
Central African Republic,CAF,2000,43.2,437.168928414826,,8.53086461225762,,-1.7988239
Canada,CAN,2000,,37906.8601321366,,99.0407431516783,103.028327941895,1.2454208
Central Europe and the Baltics,CEB,2000,6.46242716026264,7450.86082262,,,92.1599731445312,
Switzerland,CHE,2000,,73749.9389517966,,96.7000027210099,91.4543914794922,1.5863519
Channel Islands,CHI,2000,,,,,,
Chile,CHL,2000,2.9,8465.35303258864,,91.4752558018568,87.8805084228516,0.5944803
China,CHN,2000,20.0,2237.44298500334,,,,-0.2665282
Cote d'Ivoire,CIV,2000,32.4,1717.95385651231,,25.3536971285304,,-1.2897456
Cameroon,CMR,2000,37.4,1151.27689302947,,,,-0.5362139
"Congo, Dem. Rep.",COD,2000,46.0,339.52682222392,,12.2119796506951,,-2.550118
"Congo, Rep.",COG,2000,33.6,2057.01922023551,,27.9019108842136,,-1.72284099999999
Colombia,COL,2000,17.4,4016.80951748167,,67.7308209392541,79.0934371948242,-2.1081402
Comoros,COM,2000,43.8,1150.82840106354,,,,-0.5814672
Cabo Verde,CPV,2000,15.9,2037.31720912714,,,,1.2012572
Costa Rica,CRI,2000,7.1,7726.51985682031,,76.5574235444269,,0.6698023
Caribbean small states,CSS,2000,11.5578341328402,10510.8694258103,,,84.1384582519531,
Cuba,CUB,2000,7.2,4112.26168350671,,,84.1651306152344,0.3752008
Curacao,CUW,2000,,21523.645846078,,,,
Cayman Islands,CYM,2000,,,,,92.0926513671875,0.7054045
Cyprus,CYP,2000,,22383.96484375,,96.3178376197116,,0.7090873
Czechia,CZE,2000,2.7,12543.9364342367,,94.7072072649225,,0.6071485
Germany,DEU,2000,1.1,35104.1308467844,,99.842900598076,,1.3500041
Djibouti,DJI,2000,31.8,,,,,-0.5423309
Dominica,DMA,2000,,6879.59737273918,,,109.667503356934,0.4335935
Denmark,DNK,2000,,49266.9882757886,,94.6038574433508,,1.4284228
Dominican Republic,DOM,2000,10.1,4123.10573163115,,42.0551891967046,65.4546279907227,-0.132575
Algeria,DZA,2000,22.4,3553.32420521991,,69.4931139496624,,-1.6027185
East Asia & Pacific (excluding high income),EAP,2000,27.1384360587277,2132.39099441931,,,57.4583702087402,
Early-demographic dividend,EAR,2000,42.1008828449415,2158.87337673331,,,46.7289085388184,
East Asia & Pacific,EAS,2000,25.27,5056.47338479158,,68.3988876705183,60.9457092285156,
Europe & Central Asia (excluding high income),ECA,2000,21.3420410499274,3231.4170375726,,69.8599981105415,81.79931640625,
Europe & Central Asia,ECS,2000,10.52,18477.5285403386,,86.4559301766412,94.383918762207,
